InChI,Cdk.LargestPiSystem.nAtomP,Cdk.BondCount.nB,Cdk.LargestChain.nAtomLC,Cdk.AromaticAtomsCount.naAromAtom,Cdk.AromaticBondsCount.nAromBond,Cdk.ALOGP.ALogP,Cdk.RotatableBondsCount.nRotB,Cdk.MannholdLogP.MLogP,Cdk.XLogP.XLogP,Cdk.RuleOfFive.LipinskiFailures,Cdk.ALOGP.ALogp2,Cdk.ALOGP.AMR,Cdk.LongestAliphaticChain.nAtomLAC,Cdk.HBondDonorCount.nHBDon,Cdk.AtomCount.nAtom
"InChI=1S/C12H17NO3/c1-3-16-11-6-4-10(5-7-11)13-12(15)8-9(2)14/h4-7,9,14H,3,8H2,1-2H3,(H,13,15)",10.0,16.0,7.0,6.0,6.0,-0.35099999999999876,6.0,2.3400000000000003,1.0680000000000005,0.0,0.12320099999999913,65.0727,4.0,2.0,33.0
"InChI=1S/C12H19N3O/c1-9(2)15-12(16)11-6-4-10(5-7-11)8-14-13-3/h4-7,9,13-14H,8H2,1-3H3,(H,15,16)",9.0,16.0,6.0,6.0,6.0,-0.2972999999999989,6.0,2.3400000000000003,1.2490000000000006,0.0,0.08838728999999934,68.16130000000001,3.0,3.0,35.0
"InChI=1S/C12H27O4P/c1-4-7-10-14-17(13,15-11-8-5-2)16-12-9-6-3/h4-12H2,1-3H3",5.0,16.0,17.0,0.0,0.0,-1.6380000000000001,12.0,2.2300000000000004,3.3599999999999994,1.0,2.683044,60.311,4.0,0.0,44.0
"InChI=1S/C12H8Cl6/c13-8-9(14)11(16)7-5-2-1-4(3-5)6(7)10(8,15)12(11,17)18/h1-2,4-7H,3H2",2.0,21.0,0.0,0.0,0.0,3.0608,0.0,2.12,4.156000000000001,0.0,9.36849664,78.0286,0.0,0.0,26.0
"InChI=1S/C12H8Cl6O/c13-8-9(14)11(16)5-3-1-2(6-7(3)19-6)4(5)10(8,15)12(11,17)18/h2-7H,1H2",2.0,23.0,0.0,0.0,0.0,2.3381,0.0,2.0100000000000002,3.0050000000000003,0.0,5.466711609999999,76.12490000000001,0.0,0.0,27.0
"InChI=1S/C12H9N/c1-3-7-11-9(5-1)10-6-2-4-8-12(10)13-11/h1-8,13H",13.0,15.0,0.0,13.0,15.0,1.1016,0.0,2.6700000000000004,2.027,0.0,1.21352256,61.4268,0.0,1.0,22.0
"InChI=1S/C12H9NO/c13-8-5-6-12-10(7-8)9-3-1-2-4-11(9)14-12/h1-7H,13H2",14.0,16.0,0.0,13.0,15.0,0.17120000000000013,0.0,2.56,1.2140000000000004,0.0,0.029309440000000044,63.295700000000004,0.0,1.0,23.0
"InChI=1S/C12H9NO2/c14-13(15)11-7-6-9-5-4-8-2-1-3-10(11)12(8)9/h1-3,6-7H,4-5H2",13.0,17.0,2.0,10.0,11.0,1.188,1.0,2.45,2.409,0.0,1.411344,58.65690000000001,0.0,0.0,24.0
"InChI=1S/C13H11ClO/c14-12-6-7-13(15)11(9-12)8-10-4-2-1-3-5-10/h1-7,9,15H,8H2",7.0,16.0,0.0,12.0,12.0,2.677400000000001,2.0,2.6699999999999995,3.036999999999999,0.0,7.168470760000004,70.39409999999998,0.0,1.0,26.0
"InChI=1S/C13H12Cl2N2/c14-10-6-8(1-3-12(10)16)5-9-2-4-13(17)11(15)7-9/h1-4,6-7H,5,16-17H2",7.0,18.0,0.0,12.0,12.0,1.2157999999999998,2.0,2.4499999999999997,1.6560000000000001,0.0,1.4781696399999995,80.6044,0.0,2.0,29.0
"InChI=1S/C13H12N4/c1-17-11-7-10(9-5-3-2-4-6-9)8-15-12(11)16-13(17)14/h2-8H,1H3,(H2,14,15,16)",16.0,19.0,0.0,12.0,12.0,1.1088999999999993,1.0,2.4499999999999997,2.822,0.0,1.2296592099999986,70.9687,0.0,2.0,29.0
"InChI=1S/C13H13N3/c1-7-12-11(8(2)15-13(7)14)9-5-3-4-6-10(9)16-12/h3-6,16H,1-2H3,(H2,14,15)",14.0,18.0,0.0,9.0,10.0,0.5962999999999995,0.0,2.5599999999999996,2.351,0.0,0.3555736899999994,69.149,0.0,3.0,29.0
"InChI=1S/C13H13N3O/c1-17-13-9-11(7-8-12(13)14)16-15-10-5-3-2-4-6-10/h2-9H,14H2,1H3",16.0,18.0,2.0,12.0,12.0,0.2178999999999992,3.0,2.4499999999999997,2.337,0.0,0.047480409999999654,70.7603,0.0,1.0,30.0
